tweet,class,clean_tweet
RT @FunSizedYogi: @TheBlackVoice well how else will white ppl get us to forget our horrific past other than to paint a pretty picture of ho&#8230;,0,rt funsizedyogi theblackvoice well else white ppl get us forget horrific past paint pretty picture ho8230
Funny thing is....it's not just the people doing it. It's the people who seeing these pics and judging the birds. Just as wrong.,2,funny thing isits people people seeing pics judging birds wrong
"RT @winkSOSA: ""@AintShitSweet__: ""@Rakwon_OGOD: Nigga messed with the wrong bitch &#128557;&#128514;https://t.co/5mNXKVAYot"" &#128557;&#128557;&#128557;&#128557;&#128514;&#128514;&#128557;&#128557;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;""@Th_Real_Esco",1,rt winksosa aintshitsweet rakwonogod nigga messed wrong bitch 128557128514 128557128557128557128557128514128514128557128557128514128514128514128514128514128514128514threalesco
@Jbrendaro30 @ZGabrail @ramsin1995 @GabeEli8 @Jacob2times bitch ass nigggaaa,1,jbrendaro30 zgabrail ramsin1995 gabeeli8 jacob2times bitch ass nigggaaa
S/o that real bitch,1,real bitch
@mia_coop speaking about me all the time tryna make me look bad like you wasn't just eating my pussy .,1,miacoop speaking time tryna make look bad like wasnt eating pussy
Nah Mimi a bitch,1,nah mimi bitch
"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started",2,domworldpeace baseball season win yankees love started
@Worth_BILLions @MystroApollo &#128514;bitch you always hatin lmao,1,worthbillions mystroapollo 128514bitch always hatin lmao
"Why are nudes called nudes? I would rather be like "" hey girl send me the tits and ass hoe """,1,nudes called nudes would rather like hey girl send tits ass hoe
"RT @__VIIXXIV &#128514;

Me: Baby I cooked
Bae: What's for dinner?
Me: That bitch you been texting http://t.co/GwT19xIXUz",1,rt viixxiv 128514 baby cooked bae whats dinner bitch texting
@AustinBurge44 pussy ass schedule,1,austinburge44 pussy ass schedule
Stay home then bitch fuck u,0,stay home bitch fuck u
okay but how many people really care if you can see a girls nips through her shirt,1,okay many people really care see girls nips shirt
@TheREALJB1RD Now beaners drive em.,1,therealjb1rd beaners drive em
hahaha dumb bitch,1,hahaha dumb bitch
@just_priss I understand but stop venting on this bitch you give to much insight in to your life &amp; these people don't deserve that,1,justpriss understand stop venting bitch give much insight life amp people dont deserve
@kieffer_jason @sbsylvester @hunterbuch66 bitch keep talking,1,kiefferjason sbsylvester hunterbuch66 bitch keep talking
RT @deecatanz: Lmao hoes now a days &#128514;&#128581;,1,rt deecatanz lmao hoes days 128514128581
&#8220;@CommonBlackGirI: bitch that's ham on her face http://t.co/vSRAyShD5Y&#8221; @rachel_dority,1,8220commonblackgiri bitch thats ham face racheldority
Lilly just tried to climb up a tree after a bird and completely failed oh my god &#128514;,2,lilly tried climb tree bird completely failed oh god 128514
When i see a SUPER bad bitch and she happen to be from my city i just feel the need to shoot my shot.,1,see super bad bitch happen city feel need shoot shot
Photo: My mains @riri22barbie @georgegia yessssss #ladykimora turntup. #vegas bitches &#128525;&#128525; http://t.co/QecHHKO42q,1,photo mains riri22barbie georgegia yessssss ladykimora turntup vegas bitches 128525128525
"&#8220;@alexvelazquez49: Jordyn stays making fun of how I eat like a little bitch""",1,8220alexvelazquez49 jordyn stays making fun eat like little bitch
dope in the bag pretty bitch on the side,1,dope bag pretty bitch side
RT @iamSwagnificant: A real hoe will never let you turn her into a house wife.. She'll let you know what it is before you start catching fe&#8230;,1,rt iamswagnificant real hoe never let turn house wife shell let know start catching fe8230
"Why do people use the eggplant Emoji in reference to a dick? If your dick is purple with a green top, see a doctor bruh.",1,people use eggplant emoji reference dick dick purple green top see doctor bruh
red bone but her pusssy hairlessss,1,red bone pusssy hairlessss
RT @CarsonTyler85: @Thompson_Era hell yea ill rep your shirt to fam lol #BetterWithPets TeamDonny in this hoe &#128074;&#128074;,1,rt carsontyler85 thompsonera hell yea ill rep shirt fam lol betterwithpets teamdonny hoe 128074128074
RT @kpips_forever: Nobody want no pussy 25 other niggas done had before,1,rt kpipsforever nobody want pussy 25 niggas done
"Char-broiled #cod, yellow #rice, saut&#233;ed spinach and artichoke hearts. Made with love for @voxpulchra.&#8230; http://t.co/vWjWlghRGO",2,charbroiled cod yellow rice saut233ed spinach artichoke hearts made love voxpulchra8230
